,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length,,,,,,,,,,
fixnoita_damage_projectile_area,damage field,Поле Урона,,,,,,,,,,,Death message for dying to Projectile Area Damage,Use this for damage field deaths instead of 'cursed rock'.
fixnoita_damage_sawblade,bzzt!,бззз!,,,,,,,,,,,Death message for dying to a sawblade,Replace hardcoded string with translation
,,,,,,,,,,,,,following are used by the death message system if no attacker can be identified,
fixnoita_damage_none,none,неизвестно,,,,,,,,,,,,
fixnoita_damage_bite,bite,укус,,,,,,,,,,,,
fixnoita_damage_material,material,материал,,,,,,,,,,,,
fixnoita_damage_physics_body_damaged,physics body damaged,повреждение физического тела,,,,,,,,,,,,
fixnoita_damage_material_with_flash,material with flash,материал со вспышкой,,,,,,,,,,,,
fixnoita_damage_type,damage type: [$0],тип урона: [$0],,,,,,,,,,,,
fixnoita_damage_types,damage types: [$0],типы урона: [$0],,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,animal_* translations are required for an entity to show as a killer in the death message.,
animal_arrowtrap_left,arrow trap,ловушка со стрелами,,,,piège à fléchette,,,,,,,,
animal_arrowtrap_right,arrow trap,ловушка со стрелами,,,,piège à fléchette,,,,,,,,
animal_firetrap_left,fire trap,огненная ловушка,,,,piège à flamme,,,,,,,,
animal_firetrap_right,fire trap,огненная ловушка,,,,piège à flamme,,,,,,,,
animal_thunder_trap,thunder trap,ловушка с молниями,,,,piège à tonnerre,,,,,,,FR TL NEEDS VERIFYING,
animal_crystal_red,crystal,кристалл,cristal,cristal,Kristall,cristal,cristallo,kryształ,晶体,クリスタル,수정,,translation taken from vanilla,,,,,,,,,,,
animal_crystal_pink,crystal,кристалл,cristal,cristal,Kristall,cristal,cristallo,kryształ,晶体,クリスタル,수정,,translation taken from vanilla,,,,,,,,,,,
animal_crystal_green,crystal,кристалл,cristal,cristal,Kristall,cristal,cristallo,kryształ,晶体,クリスタル,수정,,translation taken from vanilla,,,,,,,,,,,
animal_physics_die,Chaos die,Кубик случая,Dado do caos,Dado caótico,Chaoswürfel,Dé chaotique,Dado del caos,Kość chaosu,混沌骰子,カオスのサイコロ,혼돈 주사위,,translation taken from vanilla,,,,,,,,,,,
animal_physics_greed_die,Greed Die,Смерть от жадности,Morte por ganância,Dado de la avaricia mortal,Gierwürfel,Dé d'avidité,Dado dell'avidità,Kość chciwości,贪婪骰子,貪欲な死,탐욕 주사위,,translation taken from vanilla,,,,,,,,,,,
animal_broken_wand,Broken wand,Сломанный жезл,Varinha quebrada,Varita rota,Zebrochener Zauberstab,Baguette cassée,Bacchetta rotta,Złamana różdżka,坏掉的魔杖,壊れた杖,부러진 완드,,translation taken from vanilla,,,,,,,,,,,
